Product_Name,avg_rating,total_reviews,avg_price,brand,category
Paese Cosmetics Automatic Eye Pencil - 01 Deep Black,4.8,1.0,699.0,Paese Cosmetics,Makeup > Eyes > Eyeliner
Murad Essential-C Cleanser,4.8,6.0,990.0,Murad,Nykaa Luxe > Skin > Face > Cleanser
Rahul Phate's Desaline Shampoo,4.8,3.0,350.0,Rahul Phate's,Personal Care > Bath > Shower > Shampoo
MyGlamm Twin Faced Concealer - Toffee Dusky,4.8,1.0,795.0,MyGlamm,Makeup > Face > Concealer
Tommy Hilfiger Tommy Now Eau De Toilette,4.8,2.0,1680.0,Tommy Hilfiger,Men's Store > Gifts > Nykaa
Just Herbs Ayurvedic Soya Protein Dandruff Control Shampoo,4.8,2.0,155.0,Just Herbs,Hair > Shop By Concern > Color Protection
Nature's Essence Organic Oriental Orange 'N' Lime D-Tan Face Wash,4.8,1.0,76.0,Nature's Essence,Natural > Body Care > Body Lotions
Big Muscles Nutrition Quick Mass Malt Chocolate Powder,4.8,0.0,1020.0,Big Muscles,Health > Wellness > Weight Management > Weight Gain
L'Occitane Amande Concentre De Lait Milk Concentrate With Almond Milk,4.8,0.0,1050.0,L'Occitane,
Makeup Revolution Precious Stone Highlighter Palette - Ruby Crush,4.8,2.0,1100.0,Makeup Revolution,Makeup > Combos > Nykaa
MESMARA Sesame Oil,4.7,4.0,212.0,MESMARA,
Montblanc Emblem Eau De Toilette,4.7,3.0,3600.0,Montblanc,
Guerlain La Petite Robe Noire Legere Eau De Parfum,4.7,3.0,6125.0,Guerlain,Nykaa Luxe > Fragrance > Perfumes (EDP/EDT)
Givenchy Gentlemen Only Eau De Toilette Spray,4.7,4.0,5650.0,Givenchy,Men's Store > Gifts > Nykaa
SSCPL Herbals Keshkalap Advanced Sesame Hair Oil,4.7,2.0,240.0,SSCPL Herbals,
Davidoff Horizon Eau De Toilette,4.6,3.0,2300.0,Davidoff,
ETUDE HOUSE Face Color Shading - 02,4.6,4.0,600.0,ETUDE HOUSE,Makeup > Face > Contour
Montblanc Explorer Eau De Parfum,4.6,9.0,4590.0,Montblanc,Fragrance > Men > Perfumes (EDT > EDP)
Davidoff Cool Water Man Intense Eau De Parfum,4.6,3.0,2320.0,Davidoff,
MESMARA Extra Virgin Olive Oil,4.6,1.0,299.0,MESMARA,Natural > Skin > Face Oils
Colorbar Wow Brows Flat Tip Tweezer,4.6,0.0,225.0,Colorbar,Makeup > Tools & Brushes > Tweezers
L'Occitane Terre De Lumiere Beautifying Body Milk,4.5,4.0,710.0,L'Occitane,Personal Care > Body > Lotions > Creams
Wet n Wild Pro Brush Line - Dome Pencil Eye Brush (EC221A),4.5,0.0,599.0,Wet n Wild,Makeup > Tools & Brushes > Eye Brush
GK Hair Color Shield Shampoo,4.5,1.0,1500.0,GK Hair,Hair > Shop By Concern > Dry > Frizzy Hair
Guerlain Parure Gold Precious Light Concealer - 02 Precious Light,4.5,1.0,3250.0,Guerlain,Makeup > Eyes > Under Eye Concealer
Guerlain Rose Aux Joues - 03 Peach Party,4.5,0.0,4775.0,Guerlain,Makeup > Face > Blush
Head & Shoulders Supreme Scalp Rejuvenation Shampoo,4.5,4.0,209.0,Head & Shoulders,Personal Care > Bath > Shower > Shampoo
APS Cosmetofood Exfoliating Olive Scrub,4.5,3.0,600.0,APS COSMETOFOOD,Natural > Shop By Concern > Tan Removal
Bombay Shaving Company Charcoal Face Pack,4.5,7.0,139.0,Bombay Shaving Company,
Chambor Silver Shadow Pressed Powder - 103 Sable RR3,4.5,7.0,650.0,Chambor,Makeup > Face > Compact
Bobbi Brown Soothing Cleansing Oil,4.5,5.0,1150.0,Bobbi Brown,Nykaa Luxe > Skin > Face > Cleanser
Rimmel London Lasting Matte Foundation - 001 Fair Porcelain,4.5,8.0,799.0,Rimmel London,Makeup > Face > Foundation
Himalaya Men Daily Nourish Hair Cream,4.5,0.0,41.0,Himalaya,Brand > Himalaya
